CHANNEL_KEY	SITE_KEY	COUNTRY_CODE	POSTCODE
8	FRA340	FR	83190
8	FRA342	FR	94490
8	FRA343	FR	66000
8	FRA344	FR	83480
8	FRA345	FR	29000
8	FRA346	FR	51100
8	FRA347	FR	95350
8	FRA349	FR	35400
8	FRA350	FR	62500
8	FRA351	FR	37700
8	FRA352	FR	95110
8	FRA353	FR	89100
8	FRA354	FR	57100
8	FRA355	FR	77200    
8	FRA356	FR	83720
8	FRA357	FR	30700
8	FRA358	FR	59300
8	FRA359	FR	56000
8	FRA360	FR	94800
8	FRA363	FR	59290
8	FRA365	FR	35300
8	FRA366	FR	50300
8	FRA368	FR	91022
8	FRA400	FR	14400
8	FRA401	FR	08300
8	FRA402	FR	33340
8	FRA403	FR	95190
8	FRA404	FR	21200
8	FRA405	FR	27200
8	FRA406	FR	50000
8	FRA407	FR	41200
8	FRA408	FR	61100
8	FRA409	FR	30200    
8	FRA410	FR	22100    
8	FRA411	FR	76240    
8	FRA412	FR	27500    
8	FRA414	FR	59112    
8	FRA461	FR	91620
8	FRA462	FR	87220
8	FRA909	FR	91000    
8	FRA990	FR	91000
8	FRABCD	FR	75015
8	FRALAC	FR	28000
8	FRBAGA	FR	18000    
8	FRBL54	FR	38500    
8	FRBL64	FR	62410    
8	FRBPBL	FR	75007    
8	FRBPBM	FR	75009    
8	FRBW85	FR	62880    
8	FRBYJR	FR	44000
8	FRD900	FR	91008
8	FRE001	FR	13290
8	FRE002	FR	49000
8	FRE003	FR	49000
8	FRE004	FR	64600
8	FRE005	FR	17690
8	FRE006	FR	74000
8	FRE007	FR	06600
8	FRE008	FR	91200
8	FRE009	FR	93600
8	FRE00A	FR	91220
8	FRE00B	FR	93500
8	FRE00D	FR	94400
8	FRE00E	FR	01960
8	FRE00F	FR	42240
8	FRE00X	FR	13002
8	FRE010	FR	84000
8	FRE011	FR	76360
8	FRE012	FR	33130
8	FRE013	FR	94220
8	FRE014	FR	25220
8	FRE015	FR	87220
8	FRE016	FR	01000
8	FRE017	FR	18000
8	FRE018	FR	29200
8	FRE019	FR	62231
8	FRE01P	FR	74430
8	FRE01Q	FR	75011
8	FRE020	FR	71100
8	FRE021	FR	71100
8	FRE022	FR	51000
8	FRE023	FR	73000
8	FRE024	FR	73000
8	FRE025	FR	77420
8	FRE026	FR	08000
8	FRE027	FR	28000
8	FRE028	FR	13220
8	FRE029	FR	77410
8	FRE030	FR	71680
8	FRE031	FR	94000
8	FRE032	FR	59220
8	FRE033	FR	21000
8	FRE034	FR	59128
8	FRE035	FR	93700
8	FRE036	FR	69130
8	FRE037	FR	88000
8	FRE038	FR	91150
8	FRE039	FR	27930
8	FRE040	FR	91000
8	FRE041	FR	78410
8	FRE042	FR	92230
8	FRE043	FR	69700
8	FRE044	FR	38130
8	FRE045	FR	38240
8	FRE046	FR	14200
8	FRE047	FR	38080
8	FRE048	FR	94200
8	FRE049	FR	85000
8	FRE050	FR	31670
8	FRE051	FR	34970
8	FRE052	FR	53000
8	FRE053	FR	72100
8	FRE054	FR	91940
8	FRE055	FR	64230
8	FRE056	FR	62800
8	FRE057	FR	59000
8	FRE058	FR	59160
8	FRE059	FR	33310
8	FRE060	FR	69003
8	FRE061	FR	13008
8	FRE062	FR	13014
8	FRE063	FR	77127
8	FRE064	FR	33700
8	FRE065	FR	98000
8	FRE066	FR	78360
8	FRE068	FR	93100
8	FRE069	FR	03000
8	FRE070	FR	68110
8	FRE071	FR	44300
8	FRE072	FR	44000
8	FRE073	FR	44800
8	FRE074	FR	58180
8	FRE075	FR	06300
8	FRE076	FR	06200
8	FRE077	FR	30000
8	FRE078	FR	30000
8	FRE079	FR	79000
8	FRE080	FR	93160
8	FRE081	FR	45000
8	FRE082	FR	75016
8	FRE083	FR	66530
8	FRE084	FR	77340
8	FRE085	FR	13110
8	FRE086	FR	31120
8	FRE087	FR	21800
8	FRE088	FR	78120
8	FRE089	FR	51430
8	FRE090	FR	35200
8	FRE091	FR	35510
8	FRE092	FR	93110
8	FRE093	FR	94531
8	FRE094	FR	45770
8	FRE095	FR	78500
8	FRE096	FR	89100
8	FRE097	FR	34540
8	FRE098	FR	93270
8	FRE099	FR	16800
8	FRE100	FR	10120
8	FRE101	FR	22360
8	FRE102	FR	34980
8	FRE103	FR	93200
8	FRE104	FR	34430
8	FRE105	FR	59430
8	FRE106	FR	78180
8	FRE107	FR	93240
8	FRE108	FR	91700
8	FRE109	FR	83160
8	FRE110	FR	83000
8	FRE111	FR	31000
8	FRE112	FR	76410
8	FRE113	FR	25480
8	FRE114	FR	60280
8	FRE115	FR	69200
8	FRE116	FR	91100
8	FRE117	FR	69100
8	FRE118	FR	77190
8	FRE119	FR	13127
8	FRE120	FR	22200
8	FRE121	FR	22500
8	FRE186	FR	26200
8	FRE190	FR	10600
8	FRE195	FR	77090
8	FRE197	FR	63200
8	FRE200	FR	84100
8	FRE201	FR	38120
8	FRE202	FR	42800
8	FRE203	FR	74700
8	FRE204	FR	01170
8	FRE205	FR	42110
8	FRE206	FR	23000
8	FRE207	FR	03100
8	FRE208	FR	69340
8	FRE209	FR	38150
8	FRE210	FR	69120
8	FRE211	FR	63300
8	FRE212	FR	93300
8	FRE215	FR	92390
8	FRE217	FR	69002
8	FRE250	FR	32000
8	FRE251	FR	46000
8	FRE252	FR	40100
8	FRE253	FR	40000
8	FRE254	FR	64500
8	FRE255	FR	40220
8	FRE256	FR	04000
8	FRE257	FR	64990
8	FRE301	FR	62120
8	FRE302	FR	80000
8	FRE303	FR	61250
8	FRE304	FR	59280
8	FRE305	FR	62138
8	FRE306	FR	30300
8	FRE307	FR	62600
8	FRE309	FR	19100
8	FRE310	FR	14000
8	FRE311	FR	62100
8	FRE312	FR	78240
8	FRE313	FR	36000
8	FRE314	FR	02400
8	FRE315	FR	77500
8	FRE316	FR	50100
8	FRE317	FR	49300
8	FRE318	FR	59163
8	FRE319	FR	83300
8	FRE320	FR	51200
8	FRE321	FR	76400
8	FRE322	FR	59610
8	FRE323	FR	13015
8	FRE324	FR	76210
8	FRE325	FR	59190
8	FRE327	FR	13600
8	FRE328	FR	91620
8	FRE329	FR	02000
8	FRE330	FR	94240
8	FRE331	FR	33500
8	FRE332	FR	78520
8	FRE333	FR	95290
8	FRE334	FR	56100
8	FRE335	FR	59600
8	FRE336	FR	14120
8	FRE337	FR	76130
8	FRE338	FR	77130
8	FRE339	FR	95370
8	FRE340	FR	83190
8	FRE342	FR	94490
8	FRE343	FR	66000
8	FRE344	FR	83480
8	FRE345	FR	29000
8	FRE346	FR	51100
8	FRE347	FR	95350
8	FRE349	FR	35400
8	FRE350	FR	62500
8	FRE351	FR	37700
8	FRE352	FR	95110
8	FRE353	FR	89100
8	FRE354	FR	57100
8	FRE356	FR	83720
8	FRE357	FR	30700
8	FRE358	FR	59300
8	FRE359	FR	56000
8	FRE360	FR	94800
8	FRE363	FR	59290
8	FRE365	FR	35300
8	FRE366	FR	50300
8	FRE400	FR	14400
8	FRE401	FR	08300
8	FRE402	FR	33340
8	FRE403	FR	95190
8	FRE404	FR	21200
8	FRE405	FR	27200
8	FRE406	FR	50000
8	FRE407	FR	41200
8	FRE408	FR	61100
8	FRE486	FR	93400
8	FRE487	FR	93400
8	FRE488	FR	93400
8	FRE490	FR	69003
8	FRE492	FR	93400
8	FRE493	FR	38070
8	FRE494	FR	38070
8	FRE495	FR	93400
8	FRE496	FR	33130
8	FRE498	FR	33130
8	FRE499	FR	74410
8	FRE509	FR	74410
8	FRE511	FR	93600
8	FRE600	FR	00000
8	FRE601	FR	38810
8	FRE602	FR	69150
8	FRE603	FR	69100
8	FRE608	FR	75011
8	FRE614	FR	75011
8	FRE803	FR	69200
8	FRE811	FR	69700
8	FRE812	FR	38150
8	FRE813	FR	73000
8	FRE814	FR	73000
8	FRE815	FR	38080
8	FRE816	FR	01000
8	FRE817	FR	01000
8	FRE818	FR	38130
8	FRE819	FR	74000
8	FRE820	FR	38120
8	FRE821	FR	42300
8	FRE822	FR	42110
8	FRE823	FR	01170
8	FRE824	FR	71680
8	FRE825	FR	71100
8	FRE826	FR	63200
8	FRE827	FR	63300
8	FRE828	FR	69120
8	FRE829	FR	69340
8	FRE830	FR	74700
8	FRE831	FR	71100
8	FRE832	FR	21200
8	FRE836	FR	69130
8	FRE837	FR	69200
8	FRE850	FR	37000
8	FRE853	FR	78500
8	FRE854	FR	91700
8	FRE855	FR	31400
8	FRE856	FR	44800
8	FRE857	FR	44340
8	FRE858	FR	86000
8	FRE859	FR	17138
8	FRE860	FR	62113
